date,day,week,month,product,division,service,usage_value,usage_unit
2025-01-01,Wednesday,Week 1,Month 1,Customer App,Product Engineering,CloudWatch,40.24,GB
2025-01-01,Wednesday,Week 1,Month 1,Customer App,Product Engineering,Glue,2.75,DPU_hours
2025-01-01,Wednesday,Week 1,Month 1,Customer App,Product Engineering,Athena,0.0038,TB
2025-01-01,Wednesday,Week 1,Month 1,Customer App,Data Engineering,CloudWatch,23.66,GB
2025-01-01,Wednesday,Week 1,Month 1,Customer App,Data Engineering,Athena,0.0193,TB
2025-01-01,Wednesday,Week 1,Month 1,Customer App,Data Engineering,EC2,6.82,hours
2025-01-01,Wednesday,Week 1,Month 1,Customer App,AI Engineering,Bedrock,26658.0,tokens
2025-01-01,Wednesday,Week 1,Month 1,Customer App,AI Engineering,EC2,6.67,hours
2025-01-01,Wednesday,Week 1,Month 1,Customer App,AI Engineering,Redshift,7.72,hours
2025-01-01,Wednesday,Week 1,Month 1,Customer App,Platform / Cloud Operations,Bedrock,53512.0,tokens
2025-01-01,Wednesday,Week 1,Month 1,Customer App,Platform / Cloud Operations,CloudWatch,41.11,GB
2025-01-01,Wednesday,Week 1,Month 1,Customer App,Platform / Cloud Operations,Glue,1.92,DPU_hours
2025-01-01,Wednesday,Week 1,Month 1,Customer App,Business Analytics,Bedrock,81401.0,tokens
2025-01-01,Wednesday,Week 1,Month 1,Customer App,Business Analytics,Redshift,2.59,hours
2025-01-01,Wednesday,Week 1,Month 1,Customer App,Business Analytics,S3,7.25,GB
2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,Product Engineering,EC2,7.03,hours
2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,Product Engineering,Athena,0.0042,TB
2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,Product Engineering,S3,25.93,GB
2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,Data Engineering,EC2,6.87,hours
2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,Data Engineering,S3,39.09,GB
2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,Data Engineering,Redshift,1.14,hours
2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,AI Engineering,S3,19.64,GB
2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,AI Engineering,Redshift,5.42,hours
2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,AI Engineering,Bedrock,39036.0,tokens
2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,Bedrock,9172.0,tokens
2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,S3,20.18,GB
2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,Lambda,25907.0,requests
2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,Business Analytics,S3,14.42,GB
2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,Business Analytics,EC2,7.58,hours
2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,Business Analytics,CloudWatch,20.17,GB
2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,Product Engineering,CloudWatch,39.87,GB
2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,Product Engineering,EC2,5.14,hours
2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,Product Engineering,Glue,4.97,DPU_hours
2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,Data Engineering,Redshift,6.55,hours
2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,Data Engineering,Bedrock,35607.0,tokens
2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,Data Engineering,Glue,3.11,DPU_hours
2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,AI Engineering,S3,26.38,GB
2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,AI Engineering,Athena,0.0164,TB
2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,AI Engineering,Glue,2.42,DPU_hours
2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,Glue,3.61,DPU_hours
2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,Redshift,5.14,hours
2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,EC2,3.11,hours
2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,Business Analytics,S3,17.26,GB
2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,Business Analytics,Glue,4.42,DPU_hours
2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,Business Analytics,CloudWatch,40.73,GB
2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,Product Engineering,S3,11.8,GB
2025-01-01,Wednesday,Week 1,Month 1,Internal Data Platform,Product Engineering,Redshift,4.75,hours
