date,day,week,month,product,division,Actual Cost,Date,Day,Week,Month,Product,Division,Allocated Budget ($),Actual Cost ($),Variance ($),Variance %,Target Overage vs Budget %,Variance Recomputed,Variance % Recomputed
2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,AI Engineering,1.7535399999999999,2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,AI Engineering,1.57,1.75,0.18,11.5,11.5,0.18353999999999981,11.690445859872598
2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,Business Analytics,22.70678,2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,Business Analytics,20.74,22.71,1.97,9.5,9.5,1.96678,9.483027965284476
2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,Data Engineering,79.65639999999999,2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,Data Engineering,72.09,79.66,7.57,10.5,10.5,7.566399999999987,10.495769177417099
2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,7.5127999999999995,2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,Platform / Cloud Operations,6.77,7.51,0.74,11.0,11.0,0.7427999999999999,10.971935007385524
2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,Product Engineering,22.738599999999998,2025-01-01,Wednesday,Week 1,Month 1,AI Assistant,Product Engineering,20.67,22.74,2.07,10.0,10.0,2.0685999999999964,10.007740686985953
2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,AI Engineering,84.37732,2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,AI Engineering,78.86,84.38,5.52,7.0,7.0,5.517319999999998,6.996347958407302
2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,Business Analytics,11.326260000000001,2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,Business Analytics,10.79,11.33,0.54,5.0,5.0,0.5362600000000022,4.969972196478241
2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,Data Engineering,2.95467,2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,Data Engineering,2.79,2.95,0.17,6.0,6.0,0.1646700000000001,5.902150537634411
2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,18.8133214,2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,Platform / Cloud Operations,17.67,18.81,1.15,6.5,6.5,1.1433213999999978,6.470409734012438
2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,Product Engineering,1.46099,2025-01-01,Wednesday,Week 1,Month 1,Analytics Platform,Product Engineering,1.38,1.46,0.08,5.5,5.5,0.08099000000000012,5.868840579710153
