Week;Month;Product;Division;Actual Cost ($);Allocated Budget ($);Variance ($);Variance %
Week 1;Month 1;AI Assistant;AI Engineering;$354,70;$318,11;$36,58;11,5%
Week 1;Month 1;AI Assistant;Business Analytics;$485,59;$443,46;$42,13;9,5%
Week 1;Month 1;AI Assistant;Data Engineering;$472,24;$427,37;$44,87;10,5%
Week 1;Month 1;AI Assistant;Platform / Cloud Operations;$144,01;$129,74;$14,27;11,0%
Week 1;Month 1;AI Assistant;Product Engineering;$458,21;$416,55;$41,66;10,0%
Week 1;Month 1;Analytics Platform;AI Engineering;$233,92;$218,61;$15,30;7,0%
Week 1;Month 1;Analytics Platform;Business Analytics;$342,28;$325,98;$16,30;5,0%
Week 1;Month 1;Analytics Platform;Data Engineering;$187,05;$176,46;$10,59;6,0%
Week 1;Month 1;Analytics Platform;Platform / Cloud Operations;$344,12;$323,12;$21,00;6,5%
Week 1;Month 1;Analytics Platform;Product Engineering;$281,28;$266,61;$14,66;5,5%
Week 1;Month 1;Customer App;AI Engineering;$304,84;$288,95;$15,89;5,5%
Week 1;Month 1;Customer App;Business Analytics;$261,77;$252,92;$8,85;3,5%
Week 1;Month 1;Customer App;Data Engineering;$330,12;$315,90;$14,22;4,5%
Week 1;Month 1;Customer App;Platform / Cloud Operations;$526,87;$501,78;$25,09;5,0%
Week 1;Month 1;Customer App;Product Engineering;$224,35;$215,72;$8,63;4,0%
Week 1;Month 1;Innovation Lab Projects;AI Engineering;$79,06;$69,66;$9,40;13,5%
Week 1;Month 1;Innovation Lab Projects;Business Analytics;$375,69;$336,94;$38,75;11,5%
Week 1;Month 1;Innovation Lab Projects;Data Engineering;$450,89;$400,79;$50,10;12,5%
Week 1;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$318,63;$281,97;$36,66;13,0%
Week 1;Month 1;Innovation Lab Projects;Product Engineering;$192,99;$172,31;$20,68;12,0%
Week 1;Month 1;Internal Data Platform;AI Engineering;$267,77;$246,79;$20,98;8,5%
Week 1;Month 1;Internal Data Platform;Business Analytics;$238,84;$224,27;$14,58;6,5%
Week 1;Month 1;Internal Data Platform;Data Engineering;$773,63;$719,66;$53,97;7,5%
Week 1;Month 1;Internal Data Platform;Platform / Cloud Operations;$270,54;$250,50;$20,04;8,0%
Week 1;Month 1;Internal Data Platform;Product Engineering;$192,46;$179,86;$12,59;7,0%
Week 2;Month 1;AI Assistant;AI Engineering;$105,35;$94,49;$10,87;11,5%
Week 2;Month 1;AI Assistant;Business Analytics;$338,69;$309,31;$29,38;9,5%
Week 2;Month 1;AI Assistant;Data Engineering;$147,93;$133,87;$14,06;10,5%
Week 2;Month 1;AI Assistant;Platform / Cloud Operations;$357,72;$322,27;$35,45;11,0%
Week 2;Month 1;AI Assistant;Product Engineering;$332,04;$301,85;$30,19;10,0%
Week 2;Month 1;Analytics Platform;AI Engineering;$601,69;$562,33;$39,36;7,0%
Week 2;Month 1;Analytics Platform;Business Analytics;$475,34;$452,70;$22,64;5,0%
Week 2;Month 1;Analytics Platform;Data Engineering;$142,01;$133,97;$8,04;6,0%
Week 2;Month 1;Analytics Platform;Platform / Cloud Operations;$122,86;$115,36;$7,50;6,5%
Week 2;Month 1;Analytics Platform;Product Engineering;$711,72;$674,62;$37,10;5,5%
Week 2;Month 1;Customer App;AI Engineering;$220,35;$208,86;$11,49;5,5%
Week 2;Month 1;Customer App;Business Analytics;$162,06;$156,58;$5,48;3,5%
Week 2;Month 1;Customer App;Data Engineering;$576,52;$551,69;$24,83;4,5%
Week 2;Month 1;Customer App;Platform / Cloud Operations;$483,47;$460,45;$23,02;5,0%
Week 2;Month 1;Customer App;Product Engineering;$177,06;$170,25;$6,81;4,0%
Week 2;Month 1;Innovation Lab Projects;AI Engineering;$143,98;$126,85;$17,12;13,5%
Week 2;Month 1;Innovation Lab Projects;Business Analytics;$157,50;$141,26;$16,24;11,5%
Week 2;Month 1;Innovation Lab Projects;Data Engineering;$492,90;$438,14;$54,77;12,5%
Week 2;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$328,57;$290,77;$37,80;13,0%
Week 2;Month 1;Innovation Lab Projects;Product Engineering;$261,45;$233,44;$28,01;12,0%
Week 2;Month 1;Internal Data Platform;AI Engineering;$65,69;$60,55;$5,15;8,5%
Week 2;Month 1;Internal Data Platform;Business Analytics;$482,60;$453,15;$29,45;6,5%
Week 2;Month 1;Internal Data Platform;Data Engineering;$120,84;$112,41;$8,43;7,5%
Week 2;Month 1;Internal Data Platform;Platform / Cloud Operations;$282,41;$261,49;$20,92;8,0%
Week 2;Month 1;Internal Data Platform;Product Engineering;$390,80;$365,23;$25,57;7,0%
Week 3;Month 1;AI Assistant;AI Engineering;$83,90;$75,25;$8,65;11,5%
Week 3;Month 1;AI Assistant;Business Analytics;$354,07;$323,35;$30,72;9,5%
Week 3;Month 1;AI Assistant;Data Engineering;$102,09;$92,39;$9,70;10,5%
Week 3;Month 1;AI Assistant;Platform / Cloud Operations;$556,56;$501,40;$55,15;11,0%
Week 3;Month 1;AI Assistant;Product Engineering;$310,30;$282,09;$28,21;10,0%
Week 3;Month 1;Analytics Platform;AI Engineering;$191,07;$178,57;$12,50;7,0%
Week 3;Month 1;Analytics Platform;Business Analytics;$589,58;$561,51;$28,08;5,0%
Week 3;Month 1;Analytics Platform;Data Engineering;$298,50;$281,60;$16,90;6,0%
Week 3;Month 1;Analytics Platform;Platform / Cloud Operations;$239,20;$224,60;$14,60;6,5%
Week 3;Month 1;Analytics Platform;Product Engineering;$203,13;$192,54;$10,59;5,5%
Week 3;Month 1;Customer App;AI Engineering;$249,23;$236,24;$12,99;5,5%
Week 3;Month 1;Customer App;Business Analytics;$547,42;$528,90;$18,51;3,5%
Week 3;Month 1;Customer App;Data Engineering;$306,49;$293,29;$13,20;4,5%
Week 3;Month 1;Customer App;Platform / Cloud Operations;$413,29;$393,61;$19,68;5,0%
Week 3;Month 1;Customer App;Product Engineering;$240,07;$230,84;$9,23;4,0%
Week 3;Month 1;Innovation Lab Projects;AI Engineering;$432,00;$380,62;$51,38;13,5%
Week 3;Month 1;Innovation Lab Projects;Business Analytics;$324,42;$290,96;$33,46;11,5%
Week 3;Month 1;Innovation Lab Projects;Data Engineering;$335,60;$298,31;$37,29;12,5%
Week 3;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$678,76;$600,67;$78,09;13,0%
Week 3;Month 1;Innovation Lab Projects;Product Engineering;$432,88;$386,50;$46,38;12,0%
Week 3;Month 1;Internal Data Platform;AI Engineering;$62,00;$57,14;$4,86;8,5%
Week 3;Month 1;Internal Data Platform;Business Analytics;$362,34;$340,22;$22,11;6,5%
Week 3;Month 1;Internal Data Platform;Data Engineering;$276,64;$257,34;$19,30;7,5%
Week 3;Month 1;Internal Data Platform;Platform / Cloud Operations;$407,97;$377,75;$30,22;8,0%
Week 3;Month 1;Internal Data Platform;Product Engineering;$478,37;$447,08;$31,30;7,0%
