Date;Day;Week;Month;Division;Actual Cost ($);Target Overage vs Budget %;Allocated Budget ($);Variance ($);Variance %
2025-01-01;Wednesday;Week 1;Month 1;AI Engineering;$38,10;6,00%;$35,94;$2,16;6,00%
2025-01-01;Wednesday;Week 1;Month 1;Business Analytics;$0,84;3,00%;$0,82;$0,02;3,00%
2025-01-01;Wednesday;Week 1;Month 1;Data Engineering;$2,25;4,50%;$2,15;$0,10;4,50%
2025-01-01;Wednesday;Week 1;Month 1;Platform / Cloud Operations;$4,08;5,00%;$3,88;$0,19;5,00%
2025-01-01;Wednesday;Week 1;Month 1;Product Engineering;$9,75;4,00%;$9,38;$0,38;4,00%
2025-01-02;Thursday;Week 1;Month 1;AI Engineering;$11,99;6,00%;$11,31;$0,68;6,00%
2025-01-02;Thursday;Week 1;Month 1;Business Analytics;$27,43;3,00%;$26,63;$0,80;3,00%
2025-01-02;Thursday;Week 1;Month 1;Data Engineering;$21,48;4,50%;$20,56;$0,92;4,50%
2025-01-02;Thursday;Week 1;Month 1;Platform / Cloud Operations;$20,63;5,00%;$19,65;$0,98;5,00%
2025-01-02;Thursday;Week 1;Month 1;Product Engineering;$5,61;4,00%;$5,39;$0,22;4,00%
2025-01-03;Friday;Week 1;Month 1;AI Engineering;$23,95;6,00%;$22,59;$1,36;6,00%
2025-01-03;Friday;Week 1;Month 1;Business Analytics;$2,72;3,00%;$2,64;$0,08;3,00%
2025-01-03;Friday;Week 1;Month 1;Data Engineering;$2,66;4,50%;$2,55;$0,11;4,50%
2025-01-03;Friday;Week 1;Month 1;Platform / Cloud Operations;$0,72;5,00%;$0,69;$0,03;5,00%
2025-01-03;Friday;Week 1;Month 1;Product Engineering;$7,91;4,00%;$7,61;$0,30;4,00%
2025-01-04;Saturday;Week 1;Month 1;AI Engineering;$0,68;6,00%;$0,64;$0,04;6,00%
2025-01-04;Saturday;Week 1;Month 1;Business Analytics;$0,02;3,00%;$0,02;$0,00;3,00%
2025-01-04;Saturday;Week 1;Month 1;Data Engineering;$0,77;4,50%;$0,74;$0,03;4,50%
2025-01-04;Saturday;Week 1;Month 1;Platform / Cloud Operations;$6,27;5,00%;$5,97;$0,30;5,00%
2025-01-04;Saturday;Week 1;Month 1;Product Engineering;$1,17;4,00%;$1,13;$0,05;4,00%
2025-01-05;Sunday;Week 1;Month 1;AI Engineering;$1,30;6,00%;$1,22;$0,07;6,00%
2025-01-05;Sunday;Week 1;Month 1;Business Analytics;$22,77;3,00%;$22,11;$0,66;3,00%
2025-01-05;Sunday;Week 1;Month 1;Data Engineering;$0,63;4,50%;$0,60;$0,03;4,50%
2025-01-05;Sunday;Week 1;Month 1;Platform / Cloud Operations;$0,01;5,00%;$0,01;$0,00;5,00%
