Date;Day;Week;Month;Product;Division;Actual Cost ($);Target Overage vs Budget %;Allocated Budget ($);Variance ($);Variance %
2025-01-01;Wednesday;Week 1;Month 1;AI Assistant;AI Engineering;$1,75;11,50%;$1,57;$0,18;11,50%
2025-01-01;Wednesday;Week 1;Month 1;AI Assistant;Business Analytics;$22,71;9,50%;$20,74;$1,97;9,50%
2025-01-01;Wednesday;Week 1;Month 1;AI Assistant;Data Engineering;$79,66;10,50%;$72,09;$7,57;10,50%
2025-01-01;Wednesday;Week 1;Month 1;AI Assistant;Platform / Cloud Operations;$7,51;11,00%;$6,77;$0,74;11,00%
2025-01-01;Wednesday;Week 1;Month 1;AI Assistant;Product Engineering;$22,74;10,00%;$20,67;$2,07;10,00%
2025-01-01;Wednesday;Week 1;Month 1;Analytics Platform;AI Engineering;$84,38;7,00%;$78,86;$5,52;7,00%
2025-01-01;Wednesday;Week 1;Month 1;Analytics Platform;Business Analytics;$11,33;5,00%;$10,79;$0,54;5,00%
2025-01-01;Wednesday;Week 1;Month 1;Analytics Platform;Data Engineering;$2,95;6,00%;$2,79;$0,17;6,00%
2025-01-01;Wednesday;Week 1;Month 1;Analytics Platform;Platform / Cloud Operations;$18,81;6,50%;$17,67;$1,15;6,50%
2025-01-01;Wednesday;Week 1;Month 1;Analytics Platform;Product Engineering;$1,46;5,50%;$1,38;$0,08;5,50%
2025-01-01;Wednesday;Week 1;Month 1;Customer App;AI Engineering;$62,45;5,50%;$59,20;$3,26;5,50%
2025-01-01;Wednesday;Week 1;Month 1;Customer App;Business Analytics;$165,77;3,50%;$160,16;$5,61;3,50%
2025-01-01;Wednesday;Week 1;Month 1;Customer App;Data Engineering;$12,74;4,50%;$12,20;$0,55;4,50%
2025-01-01;Wednesday;Week 1;Month 1;Customer App;Platform / Cloud Operations;$128,42;5,00%;$122,31;$6,12;5,00%
2025-01-01;Wednesday;Week 1;Month 1;Customer App;Product Engineering;$21,35;4,00%;$20,53;$0,82;4,00%
2025-01-01;Wednesday;Week 1;Month 1;Innovation Lab Projects;AI Engineering;$9,22;13,50%;$8,12;$1,10;13,50%
2025-01-01;Wednesday;Week 1;Month 1;Innovation Lab Projects;Business Analytics;$44,42;11,50%;$39,84;$4,58;11,50%
2025-01-01;Wednesday;Week 1;Month 1;Innovation Lab Projects;Data Engineering;$1,90;12,50%;$1,69;$0,21;12,50%
2025-01-01;Wednesday;Week 1;Month 1;Innovation Lab Projects;Platform / Cloud Operations;$108,15;13,00%;$95,70;$12,44;13,00%
2025-01-01;Wednesday;Week 1;Month 1;Innovation Lab Projects;Product Engineering;$0,33;12,00%;$0,29;$0,04;12,00%
2025-01-01;Wednesday;Week 1;Month 1;Internal Data Platform;AI Engineering;$16,34;8,50%;$15,06;$1,28;8,50%
2025-01-01;Wednesday;Week 1;Month 1;Internal Data Platform;Business Analytics;$98,59;6,50%;$92,57;$6,02;6,50%
2025-01-01;Wednesday;Week 1;Month 1;Internal Data Platform;Data Engineering;$17,62;7,50%;$16,39;$1,23;7,50%
2025-01-01;Wednesday;Week 1;Month 1;Internal Data Platform;Platform / Cloud Operations;$11,82;8,00%;$10,94;$0,88;8,00%
2025-01-01;Wednesday;Week 1;Month 1;Internal Data Platform;Product Engineering;$6,12;7,00%;$5,72;$0,40;7,00%
