Month;Product;Division;Actual Cost ($);Target Overage vs Budget %;Allocated Budget ($);Variance ($);Variance %
Month 1;AI Assistant;AI Engineering;$793,37;11,50%;$711,54;$81,83;11,50%
Month 1;AI Assistant;Business Analytics;$1 639,61;9,50%;$1 497,36;$142,25;9,50%
Month 1;AI Assistant;Data Engineering;$1 190,56;10,50%;$1 077,43;$113,13;10,50%
Month 1;AI Assistant;Platform / Cloud Operations;$1 426,68;11,00%;$1 285,30;$141,38;11,00%
Month 1;AI Assistant;Product Engineering;$1 197,00;10,00%;$1 088,18;$108,82;10,00%
Month 1;Analytics Platform;AI Engineering;$1 269,82;7,00%;$1 186,75;$83,07;7,00%
Month 1;Analytics Platform;Business Analytics;$1 786,78;5,00%;$1 701,69;$85,08;5,00%
Month 1;Analytics Platform;Data Engineering;$1 290,89;6,00%;$1 217,82;$73,07;6,00%
Month 1;Analytics Platform;Platform / Cloud Operations;$1 131,89;6,50%;$1 062,81;$69,08;6,50%
Month 1;Analytics Platform;Product Engineering;$1 464,34;5,50%;$1 388,00;$76,34;5,50%
Month 1;Customer App;AI Engineering;$886,99;5,50%;$840,75;$46,24;5,50%
Month 1;Customer App;Business Analytics;$1 328,78;3,50%;$1 283,85;$44,93;3,50%
Month 1;Customer App;Data Engineering;$1 400,16;4,50%;$1 339,86;$60,29;4,50%
Month 1;Customer App;Platform / Cloud Operations;$1 714,98;5,00%;$1 633,31;$81,67;5,00%
Month 1;Customer App;Product Engineering;$1 013,01;4,00%;$974,04;$38,96;4,00%
Month 1;Innovation Lab Projects;AI Engineering;$989,97;13,50%;$872,22;$117,75;13,50%
Month 1;Innovation Lab Projects;Business Analytics;$1 125,29;11,50%;$1 009,23;$116,06;11,50%
Month 1;Innovation Lab Projects;Data Engineering;$1 576,57;12,50%;$1 401,39;$175,17;12,50%
Month 1;Innovation Lab Projects;Platform / Cloud Operations;$1 756,13;13,00%;$1 554,10;$202,03;13,00%
Month 1;Innovation Lab Projects;Product Engineering;$1 261,60;12,00%;$1 126,43;$135,17;12,00%
Month 1;Internal Data Platform;AI Engineering;$885,93;8,50%;$816,52;$69,40;8,50%
Month 1;Internal Data Platform;Business Analytics;$1 477,09;6,50%;$1 386,94;$90,15;6,50%
Month 1;Internal Data Platform;Data Engineering;$1 779,66;7,50%;$1 655,49;$124,16;7,50%
Month 1;Internal Data Platform;Platform / Cloud Operations;$1 174,71;8,00%;$1 087,70;$87,02;8,00%
Month 1;Internal Data Platform;Product Engineering;$1 323,53;7,00%;$1 236,94;$86,59;7,00%
Month 2;AI Assistant;AI Engineering;$1 779,82;11,00%;$1 603,45;$176,38;11,00%
Month 2;AI Assistant;Business Analytics;$1 392,92;9,00%;$1 277,90;$115,01;9,00%
Month 2;AI Assistant;Data Engineering;$1 089,34;10,00%;$990,31;$99,03;10,00%
Month 2;AI Assistant;Platform / Cloud Operations;$1 275,33;10,50%;$1 154,15;$121,19;10,50%
Month 2;AI Assistant;Product Engineering;$978,30;9,50%;$893,43;$84,88;9,50%
Month 2;Analytics Platform;AI Engineering;$1 078,65;6,50%;$1 012,82;$65,83;6,50%
Month 2;Analytics Platform;Business Analytics;$1 331,90;4,50%;$1 274,55;$57,35;4,50%
Month 2;Analytics Platform;Data Engineering;$992,20;5,50%;$940,48;$51,73;5,50%
Month 2;Analytics Platform;Platform / Cloud Operations;$1 423,46;6,00%;$1 342,89;$80,57;6,00%
Month 2;Analytics Platform;Product Engineering;$704,50;5,00%;$670,95;$33,55;5,00%
Month 2;Customer App;AI Engineering;$1 053,32;5,00%;$1 003,16;$50,16;5,00%
Month 2;Customer App;Business Analytics;$948,76;3,00%;$921,13;$27,63;3,00%
Month 2;Customer App;Data Engineering;$1 444,88;4,00%;$1 389,31;$55,57;4,00%
Month 2;Customer App;Platform / Cloud Operations;$1 557,95;4,50%;$1 490,86;$67,09;4,50%
